policy,carbon_mapping,pue_scenario,capacity_scenario,wue_profile,water_risk_mapping,energy_level,demand_filename,migration_limit,max_latency_ms,second_stage_objective,demand_accelerator_hours,served_accelerator_hours,unserved_accelerator_hours,service_rate,migration_share,it_energy_kwh,facility_energy_kwh,carbon_kgco2e,direct_water_l,high_stress_direct_water_l,high_stress_water_share,stage_one_optimal_unserved_accelerator_hours,direct_water_cap_l,high_stress_water_cap_l,carbon_cap_kgco2e,fixed_total_unserved_accelerator_hours,common_served_accelerator_hours,matched_baseline_carbon_kgco2e,matched_treatment_carbon_kgco2e,matched_baseline_carbon_per_common_accelerator_hour,matched_treatment_carbon_per_common_accelerator_hour,matched_carbon_change_pct,carbon_change_pct_vs_matched_scenario_status_quo,service_rate_difference_vs_status_quo,status_quo_service_rate,reoptimized_matched_service_rate,reoptimized_matched_carbon_kgco2e,reoptimized_matched_carbon_change_pct
carbon_first,conservative_site_selection,hub_policy_compliant,tight,uniform_google_ai_2024,portfolio_mean,central,gentd26_hourly_service_demand.csv,0.15,15.0,carbon,211.9472222222222,211.06574998999997,0.8814722322222227,0.9958410767408029,0.14979514678008135,56.6904730379874,70.43849341099637,49.88290646808815,65.19404399368548,9.765751389221197,0.14979514678008135,0.8814722222222227,,,,,208.19555554555558,51.630002944097214,49.1863583687378,0.24798801688540356,0.23625076068434736,-4.732993290752452,-3.3838783195514144,0.013542024350925885,0.982299052389877,0.9822990523426955,49.13462408744259,-4.833195263142864
carbon_first,conservative_site_selection,hub_policy_compliant,tight,uniform_google_ai_2024,portfolio_mean,central,gentd26_hourly_service_demand.csv,0.15,20.0,carbon,211.9472222222222,211.06574998999997,0.8814722322222227,0.9958410767408029,0.15062644382065588,56.6904730379874,70.4361370798731,49.43399558048274,65.1940439936855,7.496240799820507,0.11498352212276586,0.8814722222222227,,,,,208.19555554555558,51.630002944097214,48.747186637441054,0.24798801688540356,0.23414134134469844,-5.583606705925526,-4.253355100506617,0.013542024350925885,0.982299052389877,0.9822990523426955,48.68571319983717,-5.702672044098078
carbon_first,conservative_site_selection,hub_policy_compliant,tight,uniform_google_ai_2024,portfolio_mean,central,gentd26_hourly_service_demand.csv,0.15,35.0,carbon,211.9472222222222,211.06574998999997,0.8814722322222227,0.9958410767408029,0.15062644382065588,56.6904730379874,70.4361370798731,49.43399558048274,65.1940439936855,7.496240799820507,0.11498352212276586,0.8814722222222227,,,,,208.19555554555558,51.630002944097214,48.747186637441054,0.24798801688540356,0.23414134134469844,-5.583606705925526,-4.253355100506617,0.013542024350925885,0.982299052389877,0.9822990523426955,48.68571319983717,-5.702672044098078
carbon_first,conservative_site_selection,hub_policy_compliant,tight,uniform_google_ai_2024,portfolio_mean,central,gentd26_hourly_service_demand.csv,0.3,15.0,carbon,211.9472222222222,211.9472222122222,1e-08,0.9999999999528184,0.298344320534122,56.92722901213285,70.30984049219032,47.63630563550986,65.46631336395276,19.531502778442395,0.29834432053412197,0.0,,,,,208.19555554555558,51.630002944097214,46.751698786132394,0.24798801688540356,0.22455666098934848,-9.448583923667098,-7.73522580060969,0.017700947562941383,0.982299052389877,0.9822990523426953,46.65921640517238,-9.627709191314581
carbon_first,conservative_site_selection,hub_policy_compliant,tight,uniform_google_ai_2024,portfolio_mean,central,gentd26_hourly_service_demand.csv,0.3,20.0,carbon,211.9472222222222,211.9472222122222,1e-08,0.9999999999528184,0.3000000000141545,56.92722901213285,70.30512782994379,46.73848386029904,65.46631336395276,14.992481599641014,0.22901062896717525,0.0,,,,,208.19555554555558,51.630002944097214,45.87785384925732,0.24798801688540356,0.22035942952307028,-11.141097747114358,-9.474179362520086,0.017700947562941383,0.982299052389877,0.9822990523426953,45.76139462996156,-11.366662753224976
carbon_first,conservative_site_selection,hub_policy_compliant,tight,uniform_google_ai_2024,portfolio_mean,central,gentd26_hourly_service_demand.csv,0.3,35.0,carbon,211.9472222222222,211.9472222122222,1e-08,0.9999999999528184,0.3000000000141545,56.92722901213285,70.30512782994379,46.73848386029904,65.46631336395276,14.992481599641014,0.22901062896717525,0.0,,,,,208.19555554555558,51.630002944097214,45.87785384925732,0.24798801688540356,0.22035942952307028,-11.141097747114358,-9.474179362520086,0.017700947562941383,0.982299052389877,0.9822990523426953,45.76139462996156,-11.366662753224976
carbon_first,conservative_site_selection,hub_policy_compliant,tight,uniform_google_ai_2024,portfolio_mean,central,gentd26_hourly_service_demand.csv,0.5,15.0,carbon,211.9472222222222,211.9472222122222,1e-08,0.9999999999528184,0.49521041666272736,56.92722901213285,69.74948842523843,44.365740207458714,65.46631336395276,32.419600318335725,0.49521041666272736,0.0,,,,,208.19555554555558,51.630002944097214,43.51230531247249,0.24798801688540356,0.20899728237931334,-15.722830076950068,-14.069847612644793,0.017700947562941383,0.982299052389877,0.9822990523426954,43.389215618073344,-15.961237373832127
carbon_first,conservative_site_selection,hub_policy_compliant,tight,uniform_google_ai_2024,portfolio_mean,central,gentd26_hourly_service_demand.csv,0.5,20.0,carbon,211.9472222222222,211.9472222122222,1e-08,0.9999999999528184,0.5000000000235908,56.92722901213285,69.7358555397956,42.86292646768169,65.46631336395276,25.09695022532666,0.38335670569691205,0.0,,,,,208.19555554555558,51.630002944097214,42.05100344478176,0.24798801688540356,0.20197839158761735,-18.553164735797488,-16.980584885707138,0.017700947562941383,0.982299052389877,0.9822990523426955,41.886401878296326,-18.87197464689446
carbon_first,conservative_site_selection,hub_policy_compliant,tight,uniform_google_ai_2024,portfolio_mean,central,gentd26_hourly_service_demand.csv,0.5,35.0,carbon,211.9472222222222,211.9472222122222,1e-08,0.9999999999528184,0.5000000000235908,56.92722901213285,69.7358555397956,42.86292646768169,65.46631336395276,25.09695022532666,0.38335670569691205,0.0,,,,,208.19555554555558,51.630002944097214,42.05100344478176,0.24798801688540356,0.20197839158761735,-18.553164735797488,-16.980584885707138,0.017700947562941383,0.982299052389877,0.9822990523426955,41.886401878296326,-18.87197464689446
carbon_first,conservative_site_selection,hub_policy_compliant,central,uniform_google_ai_2024,portfolio_mean,central,gentd26_hourly_service_demand.csv,0.15,15.0,carbon,211.9472222222222,211.9472222122222,1e-08,0.9999999999528184,0.149172160267061,56.927229012132855,70.73443837867819,50.10199521686141,65.46631336395276,9.765751389221197,0.14917216026706098,0.0,,,,,211.94722221222221,52.56768479821294,50.10199521686141,0.2480225230108326,0.23638901559509193,-4.690504424564934,-4.690504424564934,0.0,0.9999999999528184,0.9999999999056369,50.101995214223834,-4.69050442958242
carbon_first,conservative_site_selection,hub_policy_compliant,central,uniform_google_ai_2024,portfolio_mean,central,gentd26_hourly_service_demand.csv,0.15,20.0,carbon,211.9472222222222,211.9472222122222,1e-08,0.9999999999528184,0.15000000000707725,56.927229012132855,70.73208204755493,49.653084329256,65.46631336395276,7.496240799820507,0.11450531448358763,0.0,,,,,211.94722221222221,52.56768479821294,49.653084329256,0.2480225230108326,0.23427098412046415,-5.544471817895291,-5.544471817895291,0.0,0.9999999999528184,0.9999999999056369,49.653084326618426,-5.544471822912755
carbon_first,conservative_site_selection,hub_policy_compliant,central,uniform_google_ai_2024,portfolio_mean,central,gentd26_hourly_service_demand.csv,0.15,35.0,carbon,211.9472222222222,211.9472222122222,1e-08,0.9999999999528184,0.15000000000707725,56.927229012132855,70.73208204755493,49.653084329256,65.46631336395276,7.496240799820507,0.11450531448358763,0.0,,,,,211.94722221222221,52.56768479821294,49.653084329256,0.2480225230108326,0.23427098412046415,-5.544471817895291,-5.544471817895291,0.0,0.9999999999528184,0.9999999999056369,49.653084326618426,-5.544471822912755
carbon_first,conservative_site_selection,hub_policy_compliant,central,uniform_google_ai_2024,portfolio_mean,central,gentd26_hourly_service_demand.csv,0.3,15.0,carbon,211.9472222222222,211.9472222122222,1e-08,0.9999999999528184,0.298344320534122,56.92722901213285,70.30984049219032,47.63630563550986,65.46631336395276,19.531502778442395,0.29834432053412197,0.0,,,,,211.94722221222221,52.56768479821294,47.63630563550986,0.2480225230108326,0.22475550817935114,-9.381008849129913,-9.381008849129913,0.0,0.9999999999528184,0.9999999999056368,47.63630563287229,-9.381008854147389
carbon_first,conservative_site_selection,hub_policy_compliant,central,uniform_google_ai_2024,portfolio_mean,central,gentd26_hourly_service_demand.csv,0.3,20.0,carbon,211.9472222222222,211.9472222122222,1e-08,0.9999999999528184,0.3000000000141545,56.92722901213285,70.30512782994379,46.73848386029904,65.46631336395276,14.992481599641014,0.22901062896717525,0.0,,,,,211.94722221222221,52.56768479821294,46.73848386029904,0.2480225230108326,0.22051944523009562,-11.088943635790605,-11.088943635790605,0.0,0.9999999999528184,0.9999999999056368,46.73848385766148,-11.088943640808058
carbon_first,conservative_site_selection,hub_policy_compliant,central,uniform_google_ai_2024,portfolio_mean,central,gentd26_hourly_service_demand.csv,0.3,35.0,carbon,211.9472222222222,211.9472222122222,1e-08,0.9999999999528184,0.3000000000141545,56.92722901213285,70.30512782994379,46.73848386029904,65.46631336395276,14.992481599641014,0.22901062896717525,0.0,,,,,211.94722221222221,52.56768479821294,46.73848386029904,0.2480225230108326,0.22051944523009562,-11.088943635790605,-11.088943635790605,0.0,0.9999999999528184,0.9999999999056368,46.73848385766148,-11.088943640808058
carbon_first,conservative_site_selection,hub_policy_compliant,central,uniform_google_ai_2024,portfolio_mean,central,gentd26_hourly_service_demand.csv,0.5,15.0,carbon,211.9472222222222,211.9472222122222,1e-08,0.9999999999528184,0.49724053422353665,56.92722901213285,69.74370997687315,44.34871952704115,65.46631336395276,32.55250463073733,0.4972405342235367,0.0,,,,,211.94722221222221,52.56768479821294,44.34871952704115,0.2480225230108326,0.20924416495836348,-15.635014748549846,-15.635014748549846,0.0,0.9999999999528184,0.9999999999056368,44.34871952440358,-15.635014753567322
carbon_first,conservative_site_selection,hub_policy_compliant,central,uniform_google_ai_2024,portfolio_mean,central,gentd26_hourly_service_demand.csv,0.5,20.0,carbon,211.9472222222222,211.9472222122222,1e-08,0.9999999999528184,0.5000000000235908,56.92722901213285,69.7358555397956,42.85234990168978,65.46631336395276,24.98746933273502,0.3816843816119587,0.0,,,,,211.94722221222221,52.56768479821294,42.85234990168978,0.2480225230108326,0.20218406004293762,-18.481572726317662,-18.481572726317662,0.0,0.9999999999528184,0.9999999999056369,42.85234989905221,-18.481572731335138
