service_mapping,date_utc,e1_vs_e0_carbon_change_pct,e2_vs_e0_carbon_change_pct,e2_vs_e1_carbon_penalty_pct,e1_vs_e0_high_stress_water_change_l,e1_vs_e0_service_difference_accelerator_hours,e2_vs_e0_service_difference_accelerator_hours
frozen_global_upper,2024-05-10,-15.568122745631442,-15.242845776129366,0.3852537454806404,2997.3144051747386,0.0,0.0
frozen_global_upper,2024-05-11,-16.14478158146445,-16.14478158146445,0.0,0.0,0.0,0.0
frozen_global_upper,2024-05-12,-16.79895400215763,-16.79895400215763,0.0,0.0,0.0,0.0
frozen_global_upper,2024-05-13,-16.150333023247864,-16.127927135881748,0.02672149833622406,1655.7589098142116,0.0,0.0
frozen_global_upper,2024-05-14,-15.81046604905405,-15.81046604905405,0.0,0.0,0.0,0.0
frozen_global_upper,2024-05-15,-13.3634935591882,-13.250503821027648,0.13041816066041712,2627.278347543312,1.4551915228366852e-11,1.4551915228366852e-11
frozen_global_upper,2024-05-16,-13.704526504151481,-13.669938352115773,0.04008107335708999,1791.2574027447724,0.0,0.0
local_simplex_upper,2024-05-10,-15.579330533068504,-15.251942921217,0.38780504101516566,612.8515992361173,0.0,0.0
local_simplex_upper,2024-05-11,-16.17612308260873,-16.17612308260873,0.0,0.0,0.0,0.0
local_simplex_upper,2024-05-12,-16.82645423992056,-16.82645423992056,0.0,0.0,0.0,0.0
local_simplex_upper,2024-05-13,-16.1246288553053,-16.10194930477016,0.027039582925980632,343.4018074805467,0.0,0.0
local_simplex_upper,2024-05-14,-15.764932697336265,-15.764932697336265,0.0,0.0,3.637978807091713e-12,3.637978807091713e-12
local_simplex_upper,2024-05-15,-13.371273969001008,-13.259884406261834,0.12858270904192448,534.6240997216485,0.0,0.0
local_simplex_upper,2024-05-16,-13.697980606054506,-13.663384327869565,0.0400874492020975,367.6327729760374,0.0,0.0
triangulated_linear,2024-05-10,-15.498335739711077,-15.147488788759556,0.41519531481748473,100.05817061198806,0.0,0.0
triangulated_linear,2024-05-11,-16.186544733929196,-16.186544733929196,0.0,0.0,0.0,0.0
triangulated_linear,2024-05-12,-16.94515827260773,-16.94515827260773,0.0,0.0,0.0,0.0
triangulated_linear,2024-05-13,-16.046349854035757,-16.02414534477089,0.026448533478018454,50.470936747730335,0.0,0.0
triangulated_linear,2024-05-14,-15.633850914962954,-15.633850914962954,0.0,0.0,0.0,0.0
triangulated_linear,2024-05-15,-13.194888296716611,-13.07831125474106,0.1342974390425633,80.79317502732911,0.0,0.0
triangulated_linear,2024-05-16,-13.60457967947788,-13.570679932877772,0.039237897650523657,53.50714356607882,0.0,0.0
