water_risk_mapping,wue_profile,status_quo_direct_water_l,carbon_first_direct_water_l,direct_water_change_pct,status_quo_high_stress_water_l,carbon_first_high_stress_water_l,high_stress_water_share_change_points
conservative_max,factorial_000,20.493802444367827,20.493802444367823,-2.220446049250313e-14,20.493802444367827,20.493802444367823,0.0
conservative_max,factorial_001,20.493802444367827,32.319655468668195,57.70453314558219,20.493802444367827,32.319655468668195,0.0
conservative_max,factorial_002,20.493802444367827,45.04367454544708,119.791689061715,20.493802444367827,45.04367454544708,0.0
conservative_max,factorial_003,20.493802444367827,21.342109627026854,4.139335220790907,20.493802444367827,21.342109627026854,0.0
conservative_max,factorial_004,20.493802444367827,33.16796265132723,61.843868366373165,20.493802444367827,33.16796265132723,0.0
conservative_max,factorial_005,20.493802444367827,45.89198172810612,123.93102428250597,20.493802444367827,45.89198172810612,0.0
conservative_max,factorial_006,20.493802444367827,22.254845203305553,8.59305033176847,20.493802444367827,22.254845203305553,0.0
conservative_max,factorial_007,20.493802444367827,34.08069822760593,66.29758347735073,20.493802444367827,34.08069822760593,0.0
conservative_max,factorial_008,20.493802444367827,46.80471730438481,128.38473939348347,20.493802444367827,46.80471730438481,0.0
conservative_max,factorial_009,20.493802444367827,21.31139551392047,3.989464970066292,20.493802444367827,21.31139551392047,0.0
conservative_max,factorial_010,20.493802444367827,33.137248538220845,61.693998115648526,20.493802444367827,33.137248538220845,0.0
conservative_max,factorial_011,20.493802444367827,45.86126761499973,123.78115403178134,20.493802444367827,45.86126761499973,0.0
conservative_max,factorial_012,20.493802444367827,22.1597026965795,8.128800190857222,20.493802444367827,22.1597026965795,0.0
conservative_max,factorial_013,20.493802444367827,33.98555572087987,65.83333333643944,20.493802444367827,33.98555572087987,0.0
conservative_max,factorial_014,20.493802444367827,46.70957479765876,127.92048925257227,20.493802444367827,46.70957479765876,0.0
conservative_max,factorial_015,20.493802444367827,23.0724382728582,12.582515301834786,20.493802444367827,23.0724382728582,0.0
conservative_max,factorial_016,20.493802444367827,34.89829129715857,70.28704844741699,20.493802444367827,34.89829129715857,0.0
conservative_max,factorial_017,20.493802444367827,47.62231037393746,132.3742043635498,20.493802444367827,47.62231037393746,0.0
conservative_max,factorial_018,20.493802444367827,22.19108425964167,8.281927279631285,20.493802444367827,22.19108425964167,0.0
conservative_max,factorial_019,20.493802444367827,34.01693728394204,65.98646042521352,20.493802444367827,34.01693728394204,0.0
conservative_max,factorial_020,20.493802444367827,46.74095636072093,128.07361634134634,20.493802444367827,46.74095636072093,0.0
conservative_max,factorial_021,20.493802444367827,23.0393914423007,12.421262500422237,20.493802444367827,23.0393914423007,0.0
conservative_max,factorial_022,20.493802444367827,34.86524446660107,70.12579564600443,20.493802444367827,34.86524446660107,0.0
conservative_max,factorial_023,20.493802444367827,47.58926354337996,132.21295156213722,20.493802444367827,47.58926354337996,0.0
conservative_max,factorial_024,20.493802444367827,23.952127018579404,16.8749776113998,20.493802444367827,23.952127018579404,0.0
conservative_max,factorial_025,20.493802444367827,35.77798004287977,74.57951075698199,20.493802444367827,35.77798004287977,0.0
conservative_max,factorial_026,20.493802444367827,48.50199911965866,136.66666667311483,20.493802444367827,48.50199911965866,0.0
conservative_max,factorial_027,65.46631336395278,51.97456008744073,-20.60869565314627,65.46631336395278,51.97456008744073,0.0
conservative_max,factorial_028,65.46631336395278,63.8004131117411,-2.5446678858335736,65.46631336395278,63.8004131117411,0.0
conservative_max,factorial_029,65.46631336395278,76.52443218851998,16.891311357477544,65.46631336395278,76.52443218851998,0.0
conservative_max,factorial_030,65.46631336395278,52.822867270099756,-19.312903757942156,65.46631336395278,52.822867270099756,0.0
conservative_max,factorial_031,65.46631336395278,64.64872029440014,-1.24887599062945,65.46631336395278,64.64872029440014,0.0
conservative_max,factorial_032,65.46631336395278,77.37273937117902,18.18710325268169,65.46631336395278,77.37273937117902,0.0
conservative_max,factorial_033,65.46631336395278,53.735602846378455,-17.918697288418738,65.46631336395278,53.735602846378455,0.0
conservative_max,factorial_034,65.46631336395278,65.56145587067883,0.1453304788939569,65.46631336395278,65.56145587067883,0.0
conservative_max,factorial_035,65.46631336395278,78.28547494745771,19.581309722205088,65.46631336395278,78.28547494745771,0.0
conservative_max,factorial_036,65.46631336395278,52.79215315699337,-19.35981966251682,65.46631336395278,52.79215315699337,0.0
conservative_max,factorial_037,65.46631336395278,64.61800618129375,-1.2957918952041125,65.46631336395278,64.61800618129375,0.0
conservative_max,factorial_038,65.46631336395278,77.34202525807262,18.140187348107006,65.46631336395278,77.34202525807262,0.0
conservative_max,factorial_039,65.46631336395278,53.64046033965241,-18.064027767312695,65.46631336395278,53.64046033965241,0.0
conservative_max,factorial_040,65.46631336395278,65.46631336395278,0.0,65.46631336395278,65.46631336395278,0.0
conservative_max,factorial_041,65.46631336395278,78.19033244073165,19.43597924331111,65.46631336395278,78.19033244073165,0.0
conservative_max,factorial_042,65.46631336395278,54.5531959159311,-16.6698212977893,65.46631336395278,54.5531959159311,0.0
conservative_max,factorial_043,65.46631336395278,66.37904894023148,1.394206469523418,65.46631336395278,66.37904894023148,0.0
conservative_max,factorial_044,65.46631336395278,79.10306801701036,20.83018571283455,65.46631336395278,79.10306801701036,0.0
conservative_max,factorial_045,65.46631336395278,53.67184190271457,-18.016092330826915,65.46631336395278,53.67184190271457,0.0
conservative_max,factorial_046,65.46631336395278,65.49769492701495,0.04793543648580201,65.46631336395278,65.49769492701495,0.0
conservative_max,factorial_047,65.46631336395278,78.22171400379382,19.48391467979691,65.46631336395278,78.22171400379382,0.0
conservative_max,factorial_048,65.46631336395278,54.5201490853736,-16.720300435622793,65.46631336395278,54.5201490853736,0.0
conservative_max,factorial_049,65.46631336395278,66.34600210967398,1.3437273316899034,65.46631336395278,66.34600210967398,0.0
conservative_max,factorial_050,65.46631336395278,79.07002118645286,20.779706575001057,65.46631336395278,79.07002118645286,0.0
conservative_max,factorial_051,65.46631336395278,55.43288466165231,-15.326093966099364,65.46631336395278,55.43288466165231,0.0
conservative_max,factorial_052,65.46631336395278,67.25873768595268,2.7379338012133214,65.46631336395278,67.25873768595268,0.0
conservative_max,factorial_053,65.46631336395278,79.98275676273155,22.17391304452445,65.46631336395278,79.98275676273155,0.0
conservative_max,factorial_054,113.8544580242657,85.84626134897486,-24.600000001160673,113.8544580242657,85.84626134897486,0.0
conservative_max,factorial_055,113.8544580242657,97.67211437327524,-14.213184034955873,113.8544580242657,97.67211437327524,0.0
conservative_max,factorial_056,113.8544580242657,110.39613345005412,-3.037495970051962,113.8544580242657,110.39613345005412,0.0
conservative_max,factorial_057,113.8544580242657,86.6945685316339,-23.854919661418293,113.8544580242657,86.6945685316339,0.0
