policy,hour_index,trace_timestamp_anonymized,region,assigned_accelerator_hours,it_energy_kwh,facility_energy_kwh,carbon_kgco2e,direct_water_l,high_stress_direct_water_l,water_stress_category,latency_from_east_ms,migrated
E0_true_no_migration_status_quo,8,2024-05-10 08:00:00+00:00,northwest,0.0,0.0,0.0,0.0,0.0,0.0,high,18.956,True
E0_true_no_migration_status_quo,8,2024-05-10 08:00:00+00:00,southwest,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,low_medium,17.801,True
E0_true_no_migration_status_quo,9,2024-05-10 09:00:00+00:00,east,1189.9808944943968,785.3851721800181,981.7314652250227,469.32899859413743,903.1929480070208,0.0,medium_high,2.5,False
E0_true_no_migration_status_quo,9,2024-05-10 09:00:00+00:00,north,0.0,0.0,0.0,0.0,0.0,0.0,extremely_high,14.693,True
E0_true_no_migration_status_quo,9,2024-05-10 09:00:00+00:00,northwest,0.0,0.0,0.0,0.0,0.0,0.0,high,18.956,True
E0_true_no_migration_status_quo,9,2024-05-10 09:00:00+00:00,southwest,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,low_medium,17.801,True
E0_true_no_migration_status_quo,10,2024-05-10 10:00:00+00:00,east,1122.6503166384152,740.9471163027696,926.183895378462,389.5761009935655,852.089183748185,0.0,medium_high,2.5,False
E0_true_no_migration_status_quo,10,2024-05-10 10:00:00+00:00,north,0.0,0.0,0.0,0.0,0.0,0.0,extremely_high,14.693,True
E0_true_no_migration_status_quo,10,2024-05-10 10:00:00+00:00,northwest,0.0,0.0,0.0,0.0,0.0,0.0,high,18.956,True
E0_true_no_migration_status_quo,10,2024-05-10 10:00:00+00:00,southwest,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,low_medium,17.801,True
E0_true_no_migration_status_quo,11,2024-05-10 11:00:00+00:00,east,1496.1352668762174,987.4464872643451,1234.3081090804314,458.1751700906561,1135.5634603539968,0.0,medium_high,2.5,False
E0_true_no_migration_status_quo,11,2024-05-10 11:00:00+00:00,north,0.0,0.0,0.0,0.0,0.0,0.0,extremely_high,14.693,True
E0_true_no_migration_status_quo,11,2024-05-10 11:00:00+00:00,northwest,0.0,0.0,0.0,0.0,0.0,0.0,high,18.956,True
