run_family,cap_fraction_of_carbon_first,high_stress_water_cap_l,carbon_first_high_stress_water_l,achieved_fraction_of_carbon_first_high_stress_water,screened_direct_water_avoided_l_vs_carbon_first,additional_carbon_kgco2e_vs_carbon_first,additional_carbon_pct_vs_carbon_first,carbon_change_pct_vs_status_quo,service_difference_vs_status_quo_accelerator_hours,status_quo_carbon_kgco2e,status_quo_unserved_accelerator_hours,carbon_first_carbon_kgco2e,policy,carbon_mapping,pue_scenario,capacity_scenario,wue_profile,water_risk_mapping,energy_level,demand_filename,carbon_filename,capacity_filename,energy_filename,timestamp_column,energy_workload_class,migration_limit,max_latency_ms,second_stage_objective,demand_accelerator_hours,served_accelerator_hours,unserved_accelerator_hours,service_rate,migration_share,it_energy_kwh,facility_energy_kwh,carbon_kgco2e,direct_water_l,high_stress_direct_water_l,high_stress_water_share,stage_one_optimal_unserved_accelerator_hours,direct_water_cap_l,carbon_cap_kgco2e,fixed_total_unserved_accelerator_hours,solver_stage_one_optimal,solver_stage_two_optimal,solver_stage_one_iterations,solver_stage_two_iterations,max_abs_demand_balance_error,max_capacity_violation,max_migration_violation,ineligible_latency_assignment,service_gap_vs_status_quo_unserved,minimum_capacity_slack,binding_capacity_region_hours,minimum_migration_slack,binding_migration_hours,eligible_destination_count,high_stress_water_cap_slack_l,high_stress_water_cap_violation_l,assigned_east_accelerator_hours,assigned_north_accelerator_hours,assigned_northwest_accelerator_hours,assigned_southwest_accelerator_hours
scenario_coarse,0.0,0.0,9.806523583703601,0.0,9.806523583703601,2.9021222457433495,5.490383331856541,-5.1085913277404416e-09,-1.0000007932831068e-08,55.760403179624994,3.7516666766666673,52.85828093103307,screened_water_cap_0.00,conservative_site_selection,legacy_stress,tight,uniform_google_ai_2024,portfolio_mean,central,gentd26_hourly_service_demand.csv,gentd26_aligned_regional_hourly_cef.csv,capacity_scenarios.csv,energy_calibration_bounds.csv,trace_timestamp_anonymized,single_row_default,0.15,15.0,carbon,211.9472222222222,208.19555553555554,3.7516666866666672,0.9822990523426954,0.0,55.91956311375206,75.49141020356531,55.76040317677642,64.30749758081487,0.0,0.0,0.8814722222222227,,,3.7516666766666673,True,True,0,0,0.0,0.0,0.0,0.0,9.99999993922529e-09,0.0,11,0.0,184,1,0.0,0.0,208.1955555355556,0.0,0.0,0.0
scenario_coarse,0.25,2.4516308959259003,9.806523583703601,0.25,7.354892687777701,1.7695280187108509,3.3476836316709724,-2.0311801301589716,-1.0000007932831068e-08,55.760403179624994,3.7516666766666673,52.85828093103307,screened_water_cap_0.25,conservative_site_selection,legacy_stress,tight,uniform_google_ai_2024,portfolio_mean,central,gentd26_hourly_service_demand.csv,gentd26_aligned_regional_hourly_cef.csv,capacity_scenarios.csv,energy_calibration_bounds.csv,trace_timestamp_anonymized,single_row_default,0.15,15.0,carbon,211.9472222222222,208.19555553555554,3.7516666866666672,0.9822990523426954,0.0381235623862513,55.91956311375206,75.27822490826739,54.62780894974392,64.30749758081485,2.4516308959259003,0.03812356238625131,0.8814722222222227,,,3.7516666766666673,True,True,0,387,2.220446049250313e-16,0.0,0.0,0.0,9.99999993922529e-09,0.0,11,0.0,290,1,0.0,0.0,200.25839928555556,7.937156249999999,0.0,0.0
scenario_coarse,0.5,4.903261791851801,9.806523583703601,0.5,4.903261791851801,0.9156986723960259,1.7323655939374571,-3.562426852971068,-9.999979511121637e-09,55.760403179624994,3.7516666766666673,52.85828093103307,screened_water_cap_0.50,conservative_site_selection,legacy_stress,tight,uniform_google_ai_2024,portfolio_mean,central,gentd26_hourly_service_demand.csv,gentd26_aligned_regional_hourly_cef.csv,capacity_scenarios.csv,energy_calibration_bounds.csv,trace_timestamp_anonymized,single_row_default,0.15,15.0,carbon,211.9472222222222,208.19555553555557,3.7516666866666672,0.9822990523426955,0.07624712477250259,55.919563113752076,75.0650396129695,53.7739796034291,64.30749758081487,4.903261791851801,0.0762471247725026,0.8814722222222227,,,3.7516666766666673,True,True,0,388,2.220446049250313e-16,0.0,0.0,0.0,9.99999993922529e-09,0.0,11,0.0,359,1,0.0,0.0,192.3212430355556,15.874312500000002,0.0,0.0
scenario_coarse,0.75,7.354892687777701,9.806523583703601,0.75,2.4516308959259003,0.31205084852692977,0.5903537592039321,-4.645001205822363,-9.999979511121637e-09,55.760403179624994,3.7516666766666673,52.85828093103307,screened_water_cap_0.75,conservative_site_selection,legacy_stress,tight,uniform_google_ai_2024,portfolio_mean,central,gentd26_hourly_service_demand.csv,gentd26_aligned_regional_hourly_cef.csv,capacity_scenarios.csv,energy_calibration_bounds.csv,trace_timestamp_anonymized,single_row_default,0.15,15.0,carbon,211.9472222222222,208.19555553555557,3.7516666866666677,0.9822990523426955,0.11437068715875388,55.91956311375207,74.85185431767158,53.17033177956,64.30749758081487,7.354892687777701,0.11437068715875391,0.8814722222222227,,,3.7516666766666673,True,True,0,391,2.220446049250313e-16,0.0,0.0,0.0,1.00000003833145e-08,0.0,7,0.0,445,1,0.0,0.0,184.38408678555555,23.811468750000017,0.0,0.0
scenario_coarse,1.0,9.806523583703601,9.806523583703601,1.0,0.0,0.0,0.0,-5.204629240651482,-9.999979511121637e-09,55.760403179624994,3.7516666766666673,52.85828093103307,screened_water_cap_1.00,conservative_site_selection,legacy_stress,tight,uniform_google_ai_2024,portfolio_mean,central,gentd26_hourly_service_demand.csv,gentd26_aligned_regional_hourly_cef.csv,capacity_scenarios.csv,energy_calibration_bounds.csv,trace_timestamp_anonymized,single_row_default,0.15,15.0,carbon,211.9472222222222,208.19555553555557,3.7516666866666672,0.9822990523426955,0.15249424954500518,55.91956311375206,74.63866902237368,52.85828093103307,64.30749758081487,9.806523583703601,0.1524942495450052,0.8814722222222227,,,3.7516666766666673,True,True,0,397,4.440892098500626e-16,0.0,0.0,0.0,9.99999993922529e-09,0.0,3,0.0,552,1,0.0,0.0,176.4469305355556,31.748625000000015,0.0,0.0
scenario_coarse,0.0,0.0,7.496240799820507,0.0,7.496240799820507,1.6175408402773783,3.087497307358822,-3.1435029516767132,-9.999979511121637e-09,55.760403179624994,3.7516666766666673,52.39003241952927,screened_water_cap_0.00,conservative_site_selection,legacy_stress,tight,uniform_google_ai_2024,portfolio_mean,central,gentd26_hourly_service_demand.csv,gentd26_aligned_regional_hourly_cef.csv,capacity_scenarios.csv,energy_calibration_bounds.csv,trace_timestamp_anonymized,single_row_default,0.15,20.0,carbon,211.9472222222222,208.19555553555557,3.7516666866666672,0.9822990523426955,0.1523345439263407,55.91956311375206,74.63956208921593,54.00757325980665,64.30749758081487,0.0,0.0,0.8814722222222227,,,3.7516666766666673,True,True,0,397,4.440892098500626e-16,0.0,0.0,0.0,9.99999993922529e-09,0.0,3,0.0,552,3,0.0,0.0,176.48018053555558,0.0,0.0,31.715375000000012
scenario_coarse,0.25,1.8740601999551267,7.496240799820507,0.24999999999999997,5.622180599865381,0.9494897220832144,1.8123480330759945,-4.341577355913218,-1.0000036354540498e-08,55.760403179624994,3.7516666766666673,52.39003241952927,screened_water_cap_0.25,conservative_site_selection,legacy_stress,tight,uniform_google_ai_2024,portfolio_mean,central,gentd26_hourly_service_demand.csv,gentd26_aligned_regional_hourly_cef.csv,capacity_scenarios.csv,energy_calibration_bounds.csv,trace_timestamp_anonymized,single_row_default,0.15,20.0,carbon,211.9472222222222,208.1955555355555,3.7516666866666672,0.9822990523426953,0.15233454392634074,55.91956311375206,74.63956208921593,53.339522141612484,64.30749758081487,1.8740601999551265,0.029142172693005286,0.8814722222222227,,,3.7516666766666673,True,True,0,821,4.440892098500626e-16,0.0,0.0,0.0,9.99999993922529e-09,0.0,3,0.0,552,3,2.220446049250313e-16,0.0,176.48018053555558,6.0127291666666665,0.05454166666666663,25.64810416666667
scenario_coarse,0.5,3.7481203999102535,7.496240799820507,0.5,3.7481203999102535,0.4650130626715949,0.8875983487619532,-5.210431653560487,-9.999979511121637e-09,55.760403179624994,3.7516666766666673,52.39003241952927,screened_water_cap_0.50,conservative_site_selection,legacy_stress,tight,uniform_google_ai_2024,portfolio_mean,central,gentd26_hourly_service_demand.csv,gentd26_aligned_regional_hourly_cef.csv,capacity_scenarios.csv,energy_calibration_bounds.csv,trace_timestamp_anonymized,single_row_default,0.15,20.0,carbon,211.9472222222222,208.19555553555557,3.7516666866666672,0.9822990523426955,0.15270298759045262,55.91956311375206,74.63750176834301,52.855045482200865,64.30749758081487,3.7481203999102535,0.05828434538601058,0.8814722222222227,,,3.7516666766666673,True,True,0,834,4.440892098500626e-16,0.0,0.0,0.0,9.99999993922529e-09,0.0,3,0.0,554,3,0.0,0.0,176.40347220222225,10.769708333333329,1.3648333333333333,19.65754166666666
scenario_coarse,0.75,5.622180599865381,7.496240799820507,0.7499999999999998,1.874060199955128,0.13856548279270697,0.2644882554816874,-5.7958786038403876,-1.0000036354540498e-08,55.760403179624994,3.7516666766666673,52.39003241952927,screened_water_cap_0.75,conservative_site_selection,legacy_stress,tight,uniform_google_ai_2024,portfolio_mean,central,gentd26_hourly_service_demand.csv,gentd26_aligned_regional_hourly_cef.csv,capacity_scenarios.csv,energy_calibration_bounds.csv,trace_timestamp_anonymized,single_row_default,0.15,20.0,carbon,211.9472222222222,208.1955555355555,3.7516666866666672,0.9822990523426953,0.15270298759045264,55.91956311375206,74.63750176834301,52.52859790232198,64.30749758081487,5.622180599865379,0.08742651807901584,0.8814722222222227,,,3.7516666766666673,True,True,0,862,4.440892098500626e-16,0.0,0.0,0.0,9.99999993922529e-09,0.0,3,0.0,554,3,1.7763568394002505e-15,0.0,176.40347220222225,15.609437499999995,2.5923750000000005,13.590270833333326
scenario_coarse,1.0,7.496240799820507,7.496240799820507,0.9999999999999998,1.7763568394002505e-15,0.0,0.0,-6.044380183619735,-9.999979511121637e-09,55.760403179624994,3.7516666766666673,52.39003241952927,screened_water_cap_1.00,conservative_site_selection,legacy_stress,tight,uniform_google_ai_2024,portfolio_mean,central,gentd26_hourly_service_demand.csv,gentd26_aligned_regional_hourly_cef.csv,capacity_scenarios.csv,energy_calibration_bounds.csv,trace_timestamp_anonymized,single_row_default,0.15,20.0,carbon,211.9472222222222,208.19555553555557,3.7516666866666672,0.9822990523426955,0.1527029875904526,55.91956311375206,74.63750176834301,52.39003241952927,64.30749758081487,7.496240799820505,0.11656869077202113,0.8814722222222227,,,3.7516666766666673,True,True,0,875,4.440892098500626e-16,0.0,0.0,0.0,9.99999993922529e-09,0.0,3,0.0,554,3,1.7763568394002505e-15,0.0,176.40347220222225,19.913791666666672,4.355291666666667,7.523
scenario_coarse,0.0,0.0,7.496240799820507,0.0,7.496240799820507,1.6175408402773783,3.087497307358822,-3.1435029516767132,-9.999979511121637e-09,55.760403179624994,3.7516666766666673,52.39003241952927,screened_water_cap_0.00,conservative_site_selection,legacy_stress,tight,uniform_google_ai_2024,portfolio_mean,central,gentd26_hourly_service_demand.csv,gentd26_aligned_regional_hourly_cef.csv,capacity_scenarios.csv,energy_calibration_bounds.csv,trace_timestamp_anonymized,single_row_default,0.15,35.0,carbon,211.9472222222222,208.19555553555557,3.7516666866666672,0.9822990523426955,0.1523345439263407,55.91956311375206,74.63956208921593,54.00757325980665,64.30749758081487,0.0,0.0,0.8814722222222227,,,3.7516666766666673,True,True,0,397,4.440892098500626e-16,0.0,0.0,0.0,9.99999993922529e-09,0.0,3,0.0,552,3,0.0,0.0,176.48018053555558,0.0,0.0,31.715375000000012
