carbon_mapping,pue_scenario,capacity_scenario,migration_limit,max_latency_ms,wue_profile,water_risk_mapping,energy_level,from_cap_fraction,to_cap_fraction,screened_direct_water_avoided_increment_l,additional_carbon_increment_kgco2e,marginal_additional_carbon_kgco2e_per_screened_l_avoided,monotone_water_avoidance_pass,monotone_carbon_penalty_pass
conservative_site_selection,hub_policy_compliant,central,0.15,35.0,uniform_google_ai_2024,portfolio_mean,central,0.75,0.5,1.8740601999551252,0.3132952409644289,0.167174587546297,True,True
conservative_site_selection,hub_policy_compliant,central,0.15,35.0,uniform_google_ai_2024,portfolio_mean,central,0.5,0.25,1.8740601999551272,0.4641046292042221,0.2476465959926659,True,True
conservative_site_selection,hub_policy_compliant,central,0.15,35.0,uniform_google_ai_2024,portfolio_mean,central,0.25,0.0,1.8740601999551263,0.6408403335160598,0.3419529071325481,True,True
conservative_site_selection,hub_policy_compliant,central,0.3,15.0,uniform_google_ai_2024,portfolio_mean,central,1.0,0.75,4.882875694610597,0.4377693486717362,0.0896540022829001,True,True
conservative_site_selection,hub_policy_compliant,central,0.3,15.0,uniform_google_ai_2024,portfolio_mean,central,0.75,0.5,4.882875694610599,0.9879154485150824,0.202322465346697,True,True
conservative_site_selection,hub_policy_compliant,central,0.3,15.0,uniform_google_ai_2024,portfolio_mean,central,0.5,0.25,4.8828756946106,1.4833697798664642,0.3037901991860475,True,True
conservative_site_selection,hub_policy_compliant,central,0.3,15.0,uniform_google_ai_2024,portfolio_mean,central,0.25,0.0,4.882875694610599,2.0223245856497982,0.4141667148893241,True,True
conservative_site_selection,hub_policy_compliant,central,0.3,20.0,uniform_google_ai_2024,portfolio_mean,central,1.0,0.75,3.7481203999102526,0.2660457269619911,0.0709811048141253,True,True
conservative_site_selection,hub_policy_compliant,central,0.3,20.0,uniform_google_ai_2024,portfolio_mean,central,0.75,0.5,3.748120399910251,0.6265904819288721,0.1671745875463008,True,True
conservative_site_selection,hub_policy_compliant,central,0.3,20.0,uniform_google_ai_2024,portfolio_mean,central,0.5,0.25,3.7481203999102526,0.9282092584084438,0.2476465959926659,True,True
conservative_site_selection,hub_policy_compliant,central,0.3,20.0,uniform_google_ai_2024,portfolio_mean,central,0.25,0.0,3.7481203999102544,1.28168066703212,0.341952907132548,True,True
conservative_site_selection,hub_policy_compliant,central,0.3,35.0,uniform_google_ai_2024,portfolio_mean,central,1.0,0.75,3.7481203999102526,0.2660457269619911,0.0709811048141253,True,True
conservative_site_selection,hub_policy_compliant,central,0.3,35.0,uniform_google_ai_2024,portfolio_mean,central,0.75,0.5,3.748120399910251,0.6265904819288721,0.1671745875463008,True,True
conservative_site_selection,hub_policy_compliant,central,0.3,35.0,uniform_google_ai_2024,portfolio_mean,central,0.5,0.25,3.7481203999102526,0.9282092584084438,0.2476465959926659,True,True
conservative_site_selection,hub_policy_compliant,central,0.3,35.0,uniform_google_ai_2024,portfolio_mean,central,0.25,0.0,3.7481203999102544,1.28168066703212,0.341952907132548,True,True
conservative_site_selection,hub_policy_compliant,central,0.5,15.0,uniform_google_ai_2024,portfolio_mean,central,1.0,0.75,8.138126157684319,0.7296155811195391,0.0896540022828976,True,True
conservative_site_selection,hub_policy_compliant,central,0.5,15.0,uniform_google_ai_2024,portfolio_mean,central,0.75,0.5,8.138126157684347,1.6465257475251462,0.2023224653466978,True,True
conservative_site_selection,hub_policy_compliant,central,0.5,15.0,uniform_google_ai_2024,portfolio_mean,central,0.5,0.25,8.138126157684344,2.472282966444105,0.3037901991860469,True,True
conservative_site_selection,hub_policy_compliant,central,0.5,15.0,uniform_google_ai_2024,portfolio_mean,central,0.25,0.0,8.138126157684322,3.3705409760830065,0.4141667148893257,True,True
conservative_site_selection,hub_policy_compliant,central,0.5,20.0,uniform_google_ai_2024,portfolio_mean,central,1.0,0.75,6.246867333183772,0.4434095449366637,0.070981104814127,True,True
conservative_site_selection,hub_policy_compliant,central,0.5,20.0,uniform_google_ai_2024,portfolio_mean,central,0.75,0.5,6.246867333183754,1.0443174698814486,0.1671745875462999,True,True
conservative_site_selection,hub_policy_compliant,central,0.5,20.0,uniform_google_ai_2024,portfolio_mean,central,0.5,0.25,6.246867333183754,1.5470154306807375,0.2476465959926655,True,True
conservative_site_selection,hub_policy_compliant,central,0.5,20.0,uniform_google_ai_2024,portfolio_mean,central,0.25,0.0,6.246867333183758,2.1361344450535213,0.341952907132546,True,True
conservative_site_selection,hub_policy_compliant,central,0.5,35.0,uniform_google_ai_2024,portfolio_mean,central,1.0,0.75,6.246867333183772,0.4434095449366637,0.070981104814127,True,True
conservative_site_selection,hub_policy_compliant,central,0.5,35.0,uniform_google_ai_2024,portfolio_mean,central,0.75,0.5,6.246867333183754,1.0443174698814486,0.1671745875462999,True,True
conservative_site_selection,hub_policy_compliant,central,0.5,35.0,uniform_google_ai_2024,portfolio_mean,central,0.5,0.25,6.246867333183754,1.5470154306807375,0.2476465959926655,True,True
conservative_site_selection,hub_policy_compliant,central,0.5,35.0,uniform_google_ai_2024,portfolio_mean,central,0.25,0.0,6.246867333183758,2.1361344450535213,0.341952907132546,True,True
conservative_site_selection,hub_policy_compliant,tight,0.15,15.0,uniform_google_ai_2024,portfolio_mean,central,1.0,0.75,2.4414378473052984,0.23176388428449,0.0949292584041391,True,True
conservative_site_selection,hub_policy_compliant,tight,0.15,15.0,uniform_google_ai_2024,portfolio_mean,central,0.75,0.5,2.4414378473053,0.5079400355172794,0.2080495459173414,True,True
conservative_site_selection,hub_policy_compliant,tight,0.15,15.0,uniform_google_ai_2024,portfolio_mean,central,0.5,0.25,2.4414378473053,0.7445126413903864,0.3049484311927625,True,True
conservative_site_selection,hub_policy_compliant,tight,0.15,15.0,uniform_google_ai_2024,portfolio_mean,central,0.25,0.0,2.4414378473052976,1.0111622928248991,0.4141667148893244,True,True
conservative_site_selection,hub_policy_compliant,tight,0.15,20.0,uniform_google_ai_2024,portfolio_mean,central,1.0,0.75,1.8740601999551263,0.1330228634810026,0.0709811048141291,True,True
conservative_site_selection,hub_policy_compliant,tight,0.15,20.0,uniform_google_ai_2024,portfolio_mean,central,0.75,0.5,1.8740601999551252,0.313295240964436,0.1671745875463008,True,True
conservative_site_selection,hub_policy_compliant,tight,0.15,20.0,uniform_google_ai_2024,portfolio_mean,central,0.5,0.25,1.8740601999551272,0.4641046292042219,0.2476465959926658,True,True
conservative_site_selection,hub_policy_compliant,tight,0.15,20.0,uniform_google_ai_2024,portfolio_mean,central,0.25,0.0,1.8740601999551263,0.64084033351606,0.3419529071325481,True,True
conservative_site_selection,hub_policy_compliant,tight,0.15,35.0,uniform_google_ai_2024,portfolio_mean,central,1.0,0.75,1.8740601999551263,0.1330228634810026,0.0709811048141291,True,True
conservative_site_selection,hub_policy_compliant,tight,0.15,35.0,uniform_google_ai_2024,portfolio_mean,central,0.75,0.5,1.8740601999551252,0.313295240964436,0.1671745875463008,True,True
conservative_site_selection,hub_policy_compliant,tight,0.15,35.0,uniform_google_ai_2024,portfolio_mean,central,0.5,0.25,1.8740601999551272,0.4641046292042219,0.2476465959926658,True,True
conservative_site_selection,hub_policy_compliant,tight,0.15,35.0,uniform_google_ai_2024,portfolio_mean,central,0.25,0.0,1.8740601999551263,0.64084033351606,0.3419529071325481,True,True
conservative_site_selection,hub_policy_compliant,tight,0.3,15.0,uniform_google_ai_2024,portfolio_mean,central,1.0,0.75,4.882875694610599,0.4558458330210939,0.0933560183652078,True,True
conservative_site_selection,hub_policy_compliant,tight,0.3,15.0,uniform_google_ai_2024,portfolio_mean,central,0.75,0.5,4.882875694610597,1.0051314933329252,0.2058482656935798,True,True
conservative_site_selection,hub_policy_compliant,tight,0.3,15.0,uniform_google_ai_2024,portfolio_mean,central,0.5,0.25,4.8828756946106,1.4874846242834394,0.3046329084160852,True,True
conservative_site_selection,hub_policy_compliant,tight,0.3,15.0,uniform_google_ai_2024,portfolio_mean,central,0.25,0.0,4.882875694610599,2.0223245856498053,0.4141667148893255,True,True
conservative_site_selection,hub_policy_compliant,tight,0.3,20.0,uniform_google_ai_2024,portfolio_mean,central,1.0,0.75,3.7481203999102526,0.2660457269619911,0.0709811048141253,True,True
conservative_site_selection,hub_policy_compliant,tight,0.3,20.0,uniform_google_ai_2024,portfolio_mean,central,0.75,0.5,3.748120399910251,0.6265904819288721,0.1671745875463008,True,True
conservative_site_selection,hub_policy_compliant,tight,0.3,20.0,uniform_google_ai_2024,portfolio_mean,central,0.5,0.25,3.7481203999102526,0.9282092584084438,0.2476465959926659,True,True
conservative_site_selection,hub_policy_compliant,tight,0.3,20.0,uniform_google_ai_2024,portfolio_mean,central,0.25,0.0,3.7481203999102544,1.28168066703212,0.341952907132548,True,True
conservative_site_selection,hub_policy_compliant,tight,0.3,35.0,uniform_google_ai_2024,portfolio_mean,central,1.0,0.75,3.7481203999102526,0.2660457269619911,0.0709811048141253,True,True
conservative_site_selection,hub_policy_compliant,tight,0.3,35.0,uniform_google_ai_2024,portfolio_mean,central,0.75,0.5,3.748120399910251,0.6265904819288721,0.1671745875463008,True,True
conservative_site_selection,hub_policy_compliant,tight,0.3,35.0,uniform_google_ai_2024,portfolio_mean,central,0.5,0.25,3.7481203999102526,0.9282092584084438,0.2476465959926659,True,True
conservative_site_selection,hub_policy_compliant,tight,0.3,35.0,uniform_google_ai_2024,portfolio_mean,central,0.25,0.0,3.7481203999102544,1.28168066703212,0.341952907132548,True,True
conservative_site_selection,hub_policy_compliant,tight,0.5,15.0,uniform_google_ai_2024,portfolio_mean,central,1.0,0.75,8.10490007958392,0.7448544194882984,0.0919017399566185,True,True
conservative_site_selection,hub_policy_compliant,tight,0.5,15.0,uniform_google_ai_2024,portfolio_mean,central,0.75,0.5,8.104900079583945,1.665949868465006,0.2055484771072619,True,True
conservative_site_selection,hub_policy_compliant,tight,0.5,15.0,uniform_google_ai_2024,portfolio_mean,central,0.5,0.25,8.104900079583935,2.4708563728671606,0.3048595724321381,True,True
conservative_site_selection,hub_policy_compliant,tight,0.5,15.0,uniform_google_ai_2024,portfolio_mean,central,0.25,0.0,8.104900079583924,3.359126662565835,0.4144562708462508,True,True
conservative_site_selection,hub_policy_compliant,tight,0.5,20.0,uniform_google_ai_2024,portfolio_mean,central,1.0,0.75,6.274237556331681,0.4453532112848251,0.0709812478865092,True,True
conservative_site_selection,hub_policy_compliant,tight,0.5,20.0,uniform_google_ai_2024,portfolio_mean,central,0.75,0.5,6.274237556331663,1.040849111622933,0.1658925251519298,True,True
conservative_site_selection,hub_policy_compliant,tight,0.5,20.0,uniform_google_ai_2024,portfolio_mean,central,0.5,0.25,6.27423755633167,1.5518085047552643,0.2473302119696203,True,True
conservative_site_selection,hub_policy_compliant,tight,0.5,20.0,uniform_google_ai_2024,portfolio_mean,central,0.25,0.0,6.274237556331659,2.1437371790381903,0.3416729379133618,True,True
conservative_site_selection,hub_policy_compliant,tight,0.5,35.0,uniform_google_ai_2024,portfolio_mean,central,1.0,0.75,6.274237556331681,0.4453532112848251,0.0709812478865092,True,True
conservative_site_selection,hub_policy_compliant,tight,0.5,35.0,uniform_google_ai_2024,portfolio_mean,central,0.75,0.5,6.274237556331663,1.040849111622933,0.1658925251519298,True,True
conservative_site_selection,hub_policy_compliant,tight,0.5,35.0,uniform_google_ai_2024,portfolio_mean,central,0.5,0.25,6.27423755633167,1.5518085047552643,0.2473302119696203,True,True
conservative_site_selection,hub_policy_compliant,tight,0.5,35.0,uniform_google_ai_2024,portfolio_mean,central,0.25,0.0,6.274237556331659,2.1437371790381903,0.3416729379133618,True,True
conservative_site_selection,legacy_stress,ample,0.15,15.0,uniform_google_ai_2024,portfolio_mean,central,1.0,0.75,2.4516308959258994,0.2990954479280816,0.1219985636602622,True,True
conservative_site_selection,legacy_stress,ample,0.15,15.0,uniform_google_ai_2024,portfolio_mean,central,0.75,0.5,2.4516308959259003,0.5884491338315101,0.2400235430257425,True,True
conservative_site_selection,legacy_stress,ample,0.15,15.0,uniform_google_ai_2024,portfolio_mean,central,0.5,0.25,2.451630895925901,0.8499190224724913,0.3466749517167855,True,True
conservative_site_selection,legacy_stress,ample,0.15,15.0,uniform_google_ai_2024,portfolio_mean,central,0.25,0.0,2.4516308959258986,1.1325942270324916,0.4619758336846823,True,True
conservative_site_selection,legacy_stress,ample,0.15,20.0,uniform_google_ai_2024,portfolio_mean,central,1.0,0.75,1.8740601999551263,0.1385654827926998,0.0739386508480451,True,True
conservative_site_selection,legacy_stress,ample,0.15,20.0,uniform_google_ai_2024,portfolio_mean,central,0.75,0.5,1.8740601999551252,0.3264475798788951,0.1741926859589206,True,True
conservative_site_selection,legacy_stress,ample,0.15,20.0,uniform_google_ai_2024,portfolio_mean,central,0.5,0.25,1.8740601999551272,0.4844766594116051,0.2585171273704044,True,True
conservative_site_selection,legacy_stress,ample,0.15,20.0,uniform_google_ai_2024,portfolio_mean,central,0.25,0.0,1.8740601999551263,0.6680511181941783,0.3564726032867965,True,True
conservative_site_selection,legacy_stress,ample,0.15,35.0,uniform_google_ai_2024,portfolio_mean,central,1.0,0.75,1.8740601999551263,0.1385654827926998,0.0739386508480451,True,True
conservative_site_selection,legacy_stress,ample,0.15,35.0,uniform_google_ai_2024,portfolio_mean,central,0.75,0.5,1.8740601999551252,0.3264475798788951,0.1741926859589206,True,True
conservative_site_selection,legacy_stress,ample,0.15,35.0,uniform_google_ai_2024,portfolio_mean,central,0.5,0.25,1.8740601999551272,0.4844766594116051,0.2585171273704044,True,True
conservative_site_selection,legacy_stress,ample,0.15,35.0,uniform_google_ai_2024,portfolio_mean,central,0.25,0.0,1.8740601999551263,0.6680511181941783,0.3564726032867965,True,True
conservative_site_selection,legacy_stress,ample,0.3,15.0,uniform_google_ai_2024,portfolio_mean,central,1.0,0.75,4.903261791851799,0.5981908958561775,0.1219985636602651,True,True
conservative_site_selection,legacy_stress,ample,0.3,15.0,uniform_google_ai_2024,portfolio_mean,central,0.75,0.5,4.903261791851801,1.176898267663006,0.2400235430257396,True,True
conservative_site_selection,legacy_stress,ample,0.3,15.0,uniform_google_ai_2024,portfolio_mean,central,0.5,0.25,4.903261791851802,1.6998380449449897,0.3466749517167869,True,True
conservative_site_selection,legacy_stress,ample,0.3,15.0,uniform_google_ai_2024,portfolio_mean,central,0.25,0.0,4.903261791851801,2.2651884540649903,0.4619758336846834,True,True
conservative_site_selection,legacy_stress,ample,0.3,20.0,uniform_google_ai_2024,portfolio_mean,central,1.0,0.75,3.7481203999102526,0.2771309655854068,0.073938650848047,True,True
conservative_site_selection,legacy_stress,ample,0.3,20.0,uniform_google_ai_2024,portfolio_mean,central,0.75,0.5,3.748120399910251,0.652895159757783,0.1741926859589186,True,True
conservative_site_selection,legacy_stress,ample,0.3,20.0,uniform_google_ai_2024,portfolio_mean,central,0.5,0.25,3.7481203999102526,0.9689533188232248,0.2585171273704083,True,True
conservative_site_selection,legacy_stress,ample,0.3,20.0,uniform_google_ai_2024,portfolio_mean,central,0.25,0.0,3.7481203999102544,1.3361022363883346,0.3564726032867905,True,True
conservative_site_selection,legacy_stress,ample,0.3,35.0,uniform_google_ai_2024,portfolio_mean,central,1.0,0.75,3.7481203999102526,0.2771309655854068,0.073938650848047,True,True
conservative_site_selection,legacy_stress,ample,0.3,35.0,uniform_google_ai_2024,portfolio_mean,central,0.75,0.5,3.748120399910251,0.652895159757783,0.1741926859589186,True,True
conservative_site_selection,legacy_stress,ample,0.3,35.0,uniform_google_ai_2024,portfolio_mean,central,0.5,0.25,3.7481203999102526,0.9689533188232248,0.2585171273704083,True,True
conservative_site_selection,legacy_stress,ample,0.3,35.0,uniform_google_ai_2024,portfolio_mean,central,0.25,0.0,3.7481203999102544,1.3361022363883346,0.3564726032867905,True,True
conservative_site_selection,legacy_stress,ample,0.5,15.0,uniform_google_ai_2024,portfolio_mean,central,1.0,0.75,8.172102986419652,0.9969848264269744,0.1219985636602668,True,True
conservative_site_selection,legacy_stress,ample,0.5,15.0,uniform_google_ai_2024,portfolio_mean,central,0.75,0.5,8.17210298641968,1.961497112771696,0.2400235430257415,True,True
conservative_site_selection,legacy_stress,ample,0.5,15.0,uniform_google_ai_2024,portfolio_mean,central,0.5,0.25,8.172102986419674,2.833063408241628,0.3466749517167842,True,True
conservative_site_selection,legacy_stress,ample,0.5,15.0,uniform_google_ai_2024,portfolio_mean,central,0.25,0.0,8.17210298641966,3.775314090108317,0.4619758336846838,True,True
