cap_fraction_of_carbon_first,carbon_kgco2e,carbon_change_pct_vs_status_quo,high_stress_direct_water_l,screened_direct_water_avoided_l_vs_carbon_first,additional_carbon_kgco2e_vs_carbon_first,additional_carbon_pct_vs_carbon_first,migration_share,assigned_east_accelerator_hours,assigned_north_accelerator_hours,assigned_northwest_accelerator_hours,assigned_southwest_accelerator_hours,max_abs_demand_balance_error,max_capacity_violation,max_migration_violation,ineligible_latency_assignment,service_gap_vs_status_quo_unserved,high_stress_water_cap_violation_l
0.0,33.33603585351142,-13.083310813418723,0.0,2.4250446709410443,0.0582254091812473,0.1749676688574508,0.3000000000283089,148.36305553555553,0.0,0.0,63.5841666666667,4.440892098500626e-16,0.0,0.0,0.0,1e-08,0.0
0.05,33.32746161520569,-13.105666333106347,0.1212522335470522,2.303792437393992,0.0496511708755207,0.1492020364698643,0.3000000000283089,148.36305553555553,0.1255833333333333,0.2669708333333333,63.191612500000026,4.440892098500626e-16,0.0,0.0,0.0,1e-08,0.0
0.1,33.32194909107148,-13.12003907823154,0.2425044670941044,2.18254020384694,0.0441386467413096,0.1326368716930703,0.3000000000283089,148.36305553555553,0.256,0.5291083333333334,62.79905833333336,4.440892098500626e-16,0.0,0.0,0.0,1e-08,2.775557561562892e-17
0.15,33.31659079671595,-13.134009701706884,0.3637567006411567,2.061287970299888,0.0387803523857783,0.1165351682336668,0.3000000000283089,148.36305553555553,0.256,0.9216625,62.40650416666669,4.440892098500626e-16,0.0,0.0,0.0,1e-08,1.1102230246251563e-16
0.2,33.31137946714106,-13.147597145483946,0.485008934188209,1.9400357367528351,0.0335690228108873,0.1008750947333103,0.3000000000283089,148.36305553555553,0.5165500000000005,1.0536666666666663,62.01395000000002,4.440892098500626e-16,0.0,0.0,0.0,1e-08,1.1102230246251563e-16
0.25,33.306284764597585,-13.160880508851292,0.6062611677352611,1.818783503205783,0.0284743202674135,0.0855654860918431,0.3000000000283089,148.36305553555553,0.9091041666666666,1.0536666666666663,61.62139583333336,4.440892098500626e-16,0.0,0.0,0.0,1e-08,0.0
0.3,33.301583303737054,-13.173138577391097,0.7275134012823131,1.697531269658731,0.0237728594068826,0.071437570830124,0.3000000000283089,148.36305553555553,0.9704166666666668,1.3849083333333327,61.22884166666669,4.440892098500626e-16,0.0,0.0,0.0,1e-08,0.0
0.35,33.2969546315173,-13.185206864887512,0.8487656348293653,1.576279036111679,0.0191441871871305,0.0575283858268216,0.3000000000283089,148.36305553555553,0.9704166666666668,1.777462499999999,60.836287500000026,4.440892098500626e-16,0.0,0.0,0.0,1e-08,0.0
0.4,33.292976114196975,-13.19558001047908,0.9700178683764178,1.4550268025646265,0.0151656698668034,0.0455729198054477,0.3000000000283089,148.36305553555553,1.3070833333333334,1.83335,60.44373333333336,4.440892098500626e-16,0.0,0.0,0.0,1e-08,0.0
0.45,33.28983586672663,-13.20376754407031,1.0912701019234698,1.3337745690175744,0.012025422396455,0.0361364592077695,0.3000000000283089,148.36305553555553,1.6847374999999998,1.84825,60.051179166666685,4.440892098500626e-16,0.0,0.0,0.0,1e-08,0.0
0.5,33.28748239762519,-13.209903718848215,1.212522335470522,1.212522335470522,0.0096719532950189,0.0290642718552724,0.3000000000283089,148.36305553555553,2.003625,1.9219166666666665,59.65862500000002,4.440892098500626e-16,0.0,0.0,0.0,1e-08,0.0
0.55,33.285323816569345,-13.215531764112487,1.3337745690175746,1.0912701019234696,0.007513372239174,0.022577724131656,0.3000000000283089,148.36305553555553,2.3961791666666667,1.9219166666666665,59.26607083333335,4.440892098500626e-16,0.0,0.0,0.0,1e-08,2.220446049250313e-16
