run_family,from_cap_fraction,to_cap_fraction,screened_direct_water_avoided_increment_l,additional_carbon_increment_kgco2e,marginal_additional_carbon_kgco2e_per_screened_l_avoided,monotone_water_avoidance_pass,monotone_carbon_penalty_pass
reference_dense,1.0,0.95,0.1212522335470525,0.0001949895731883,0.0016081318049505,True,True
reference_dense,0.95,0.9,0.1212522335470525,0.0002103338492531,0.0017346802042335,True,True
reference_dense,0.9,0.85,0.1212522335470525,0.0003802932881029,0.0031363817142006,True,True
reference_dense,0.85,0.8,0.1212522335470518,0.0004957899744368,0.0040889141579771,True,True
reference_dense,0.8,0.75,0.1212522335470525,0.0005018788101551,0.004139130434743,True,True
reference_dense,0.75,0.7,0.1212522335470522,0.0010186542886003,0.0084011177262568,True,True
reference_dense,0.7,0.65,0.1212522335470518,0.0013875472986768,0.0114434782608636,True,True
reference_dense,0.65,0.6,0.1212522335470518,0.0015160008405104,0.0125028694001097,True,True
reference_dense,0.6,0.55,0.1212522335470518,0.0018078843162498,0.0149101114541395,True,True
reference_dense,0.55,0.5,0.1212522335470525,0.0021585810558448,0.0178024024193107,True,True
reference_dense,0.5,0.45,0.1212522335470522,0.0023534691014361,0.0194096968986795,True,True
reference_dense,0.45,0.4,0.121252233547052,0.0031402474703483,0.0258984711331505,True,True
reference_dense,0.4,0.35,0.1212522335470525,0.003978517320327,0.0328119095536757,True,True
reference_dense,0.35,0.3,0.121252233547052,0.0046286722197521,0.0381739130434739,True,True
reference_dense,0.3,0.25,0.121252233547052,0.0047014608605309,0.0387742206720382,True,True
reference_dense,0.25,0.2,0.121252233547052,0.0050947025434737,0.042017391304357,True,True
reference_dense,0.2,0.15,0.1212522335470525,0.005211329574891,0.0429792460100846,True,True
reference_dense,0.15,0.1,0.121252233547052,0.0053582943555312,0.0441913043478243,True,True
reference_dense,0.1,0.05,0.1212522335470525,0.0055125241342111,0.0454632790914481,True,True
reference_dense,0.05,0.0,0.121252233547052,0.0085742383057265,0.0707140648456535,True,True
