cap_fraction_of_carbon_first,scenario_count,carbon_change_pct_vs_status_quo_minimum,carbon_change_pct_vs_status_quo_q25,carbon_change_pct_vs_status_quo_median,carbon_change_pct_vs_status_quo_q75,carbon_change_pct_vs_status_quo_maximum,additional_carbon_kgco2e_vs_carbon_first_minimum,additional_carbon_kgco2e_vs_carbon_first_q25,additional_carbon_kgco2e_vs_carbon_first_median,additional_carbon_kgco2e_vs_carbon_first_q75,additional_carbon_kgco2e_vs_carbon_first_maximum,screened_direct_water_avoided_l_vs_carbon_first_minimum,screened_direct_water_avoided_l_vs_carbon_first_q25,screened_direct_water_avoided_l_vs_carbon_first_median,screened_direct_water_avoided_l_vs_carbon_first_q75,screened_direct_water_avoided_l_vs_carbon_first_maximum
0.0,243,-48.15084106804337,-14.129876288840403,-6.390386991561603,-6.3629768121131755e-09,-5.017464221879209e-09,0.0,0.0303257339485654,0.2077438818907957,2.4805342176842977,9.586981932635652,0.0,1.212522335470522,4.174645430636677,14.992481599641014,32.688411945678666
0.25,243,-48.16249150848013,-14.322271966714627,-7.093546209107105,-3.0004643096391392,-0.1473719318663136,0.0,0.0148303751392759,0.0971304978020697,1.469371924859395,5.824598420895541,0.0,0.9093917516028917,3.130984072977508,11.24436119973076,24.516308959259007
0.5,243,-48.174141948916905,-15.993411334556562,-10.122023643847378,-4.33742041188307,-0.2392521503362554,0.0,0.0050374756744915,0.0380956760659145,0.7262731591975893,2.99193164612376,0.0,0.6062611677352611,2.0873227153183387,7.496240799820507,16.344205972839333
0.75,243,-48.185333104276985,-18.009388580868013,-11.272031595789434,-4.996238642767958,-0.2812758256189762,0.0,0.0009287945287255,0.0093265065909946,0.22532427931017907,1.0105906014250223,0.0,0.3031305838676309,1.04366135765917,3.7481203999102544,8.172102986419652
1.0,243,-48.19353620496163,-18.87197464689446,-11.760169406875107,-5.3015364020509,-0.2986800085204022,0.0,0.0,0.0,0.0,0.0,-1.7763568394002505e-14,0.0,0.0,0.0,3.552713678800501e-15
