water_risk_mapping,wue_profile,profile_rank,east_wue_l_per_kwh_it,north_wue_l_per_kwh_it,northwest_wue_l_per_kwh_it,southwest_wue_l_per_kwh_it,status_quo_direct_water_l,carbon_first_direct_water_l,direct_water_change_pct,status_quo_high_stress_water_l,carbon_first_high_stress_water_l,status_quo_high_stress_share_pct,carbon_first_high_stress_share_pct,high_stress_share_change_pp,direct_water_change_class,use_panel_a,use_panel_b,use_panel_c,use_panel_d,evidence_id
conservative_max,factorial_025,72,0.36,2,2,1.15,20.4938024443678,35.7779800428798,74.579510756982,20.4938024443678,35.7779800428798,100,100,0,increase,False,False,False,True,T3C04;T1R08;T1R09
conservative_max,factorial_026,81,0.36,2,2,2,20.4938024443678,48.5019991196587,136.666666673115,20.4938024443678,48.5019991196587,100,100,0,increase,False,False,False,True,T3C04;T1R08;T1R09
conservative_max,factorial_027,10,1.15,0.36,0.36,0.36,65.4663133639528,51.9745600874407,-20.6086956531463,65.4663133639528,51.9745600874407,100,100,0,decrease,False,False,False,True,T3C04;T1R08;T1R09
conservative_max,factorial_028,29,1.15,0.36,0.36,1.15,65.4663133639528,63.8004131117411,-2.54466788583357,65.4663133639528,63.8004131117411,100,100,0,decrease,False,False,False,True,T3C04;T1R08;T1R09
conservative_max,factorial_029,55,1.15,0.36,0.36,2,65.4663133639528,76.52443218852,16.8913113574775,65.4663133639528,76.52443218852,100,100,0,increase,False,False,False,True,T3C04;T1R08;T1R09
conservative_max,factorial_030,12,1.15,0.36,1.15,0.36,65.4663133639528,52.8228672700998,-19.3129037579422,65.4663133639528,52.8228672700998,100,100,0,decrease,False,False,False,True,T3C04;T1R08;T1R09
conservative_max,factorial_031,36,1.15,0.36,1.15,1.15,65.4663133639528,64.6487202944001,-1.24887599062945,65.4663133639528,64.6487202944001,100,100,0,decrease,False,False,False,True,T3C04;T1R08;T1R09
conservative_max,factorial_032,57,1.15,0.36,1.15,2,65.4663133639528,77.372739371179,18.1871032526817,65.4663133639528,77.372739371179,100,100,0,increase,False,False,False,True,T3C04;T1R08;T1R09
conservative_max,factorial_033,15,1.15,0.36,2,0.36,65.4663133639528,53.7356028463785,-17.9186972884187,65.4663133639528,53.7356028463785,100,100,0,decrease,False,False,False,True,T3C04;T1R08;T1R09
conservative_max,factorial_034,43,1.15,0.36,2,1.15,65.4663133639528,65.5614558706788,0.145330478893957,65.4663133639528,65.5614558706788,100,100,0,increase,False,False,False,True,T3C04;T1R08;T1R09
conservative_max,factorial_035,60,1.15,0.36,2,2,65.4663133639528,78.2854749474577,19.5813097222051,65.4663133639528,78.2854749474577,100,100,0,increase,False,False,False,True,T3C04;T1R08;T1R09
