trace_timestamp_anonymized,request_type,request_count,service_accelerator_hours,total_images,median_exec_time_seconds,p95_exec_time_seconds,hour_index,workload_class,service_quantity_status
2024-11-16 02:00:00,IMG_2_IMG,2.0,0.015277777777777779,2.0,27.5,31.55,10,genai_diffusion_serving,single-accelerator-equivalent hours from successful request execution time; not measured fleet GPU occupancy
2024-11-16 02:00:00,INPAINTING,4.0,0.027777777777777776,4.0,26.5,30.549999999999997,10,genai_diffusion_serving,single-accelerator-equivalent hours from successful request execution time; not measured fleet GPU occupancy
2024-11-16 02:00:00,TXT_2_IMG,0.0,0.0,0.0,,,10,genai_diffusion_serving,single-accelerator-equivalent hours from successful request execution time; not measured fleet GPU occupancy
2024-11-16 03:00:00,IMG_2_IMG,0.0,0.0,0.0,,,11,genai_diffusion_serving,single-accelerator-equivalent hours from successful request execution time; not measured fleet GPU occupancy
2024-11-16 03:00:00,INPAINTING,0.0,0.0,0.0,,,11,genai_diffusion_serving,single-accelerator-equivalent hours from successful request execution time; not measured fleet GPU occupancy
2024-11-16 03:00:00,TXT_2_IMG,0.0,0.0,0.0,,,11,genai_diffusion_serving,single-accelerator-equivalent hours from successful request execution time; not measured fleet GPU occupancy
2024-11-16 04:00:00,IMG_2_IMG,0.0,0.0,0.0,,,12,genai_diffusion_serving,single-accelerator-equivalent hours from successful request execution time; not measured fleet GPU occupancy
2024-11-16 04:00:00,INPAINTING,0.0,0.0,0.0,,,12,genai_diffusion_serving,single-accelerator-equivalent hours from successful request execution time; not measured fleet GPU occupancy
2024-11-16 04:00:00,TXT_2_IMG,0.0,0.0,0.0,,,12,genai_diffusion_serving,single-accelerator-equivalent hours from successful request execution time; not measured fleet GPU occupancy
2024-11-16 05:00:00,IMG_2_IMG,0.0,0.0,0.0,,,13,genai_diffusion_serving,single-accelerator-equivalent hours from successful request execution time; not measured fleet GPU occupancy
2024-11-16 05:00:00,INPAINTING,0.0,0.0,0.0,,,13,genai_diffusion_serving,single-accelerator-equivalent hours from successful request execution time; not measured fleet GPU occupancy
2024-11-16 05:00:00,TXT_2_IMG,0.0,0.0,0.0,,,13,genai_diffusion_serving,single-accelerator-equivalent hours from successful request execution time; not measured fleet GPU occupancy
2024-11-16 06:00:00,IMG_2_IMG,0.0,0.0,0.0,,,14,genai_diffusion_serving,single-accelerator-equivalent hours from successful request execution time; not measured fleet GPU occupancy
2024-11-16 06:00:00,INPAINTING,0.0,0.0,0.0,,,14,genai_diffusion_serving,single-accelerator-equivalent hours from successful request execution time; not measured fleet GPU occupancy
