capacity_scenario,hour_index,region,capacity_accelerator_hours,capacity_status
external_nonbinding,17,southwest,7618.55350424121,constructed nonbinding capacity for fixed-service external confirmation
external_nonbinding,18,east,8008.085011328228,constructed nonbinding capacity for fixed-service external confirmation
external_nonbinding,18,north,8008.085011328228,constructed nonbinding capacity for fixed-service external confirmation
external_nonbinding,18,northwest,8008.085011328228,constructed nonbinding capacity for fixed-service external confirmation
external_nonbinding,18,southwest,8008.085011328228,constructed nonbinding capacity for fixed-service external confirmation
external_nonbinding,19,east,8658.630593600223,constructed nonbinding capacity for fixed-service external confirmation
external_nonbinding,19,north,8658.630593600223,constructed nonbinding capacity for fixed-service external confirmation
external_nonbinding,19,northwest,8658.630593600223,constructed nonbinding capacity for fixed-service external confirmation
external_nonbinding,19,southwest,8658.630593600223,constructed nonbinding capacity for fixed-service external confirmation
external_nonbinding,20,east,8280.599129868322,constructed nonbinding capacity for fixed-service external confirmation
external_nonbinding,20,north,8280.599129868322,constructed nonbinding capacity for fixed-service external confirmation
external_nonbinding,20,northwest,8280.599129868322,constructed nonbinding capacity for fixed-service external confirmation
external_nonbinding,20,southwest,8280.599129868322,constructed nonbinding capacity for fixed-service external confirmation
external_nonbinding,21,east,5914.519183724084,constructed nonbinding capacity for fixed-service external confirmation
external_nonbinding,21,north,5914.519183724084,constructed nonbinding capacity for fixed-service external confirmation
external_nonbinding,21,northwest,5914.519183724084,constructed nonbinding capacity for fixed-service external confirmation
external_nonbinding,21,southwest,5914.519183724084,constructed nonbinding capacity for fixed-service external confirmation
external_nonbinding,22,east,4102.1546896228565,constructed nonbinding capacity for fixed-service external confirmation
external_nonbinding,22,north,4102.1546896228565,constructed nonbinding capacity for fixed-service external confirmation
external_nonbinding,22,northwest,4102.1546896228565,constructed nonbinding capacity for fixed-service external confirmation
external_nonbinding,22,southwest,4102.1546896228565,constructed nonbinding capacity for fixed-service external confirmation
external_nonbinding,23,east,2601.603789541025,constructed nonbinding capacity for fixed-service external confirmation
external_nonbinding,23,north,2601.603789541025,constructed nonbinding capacity for fixed-service external confirmation
external_nonbinding,23,northwest,2601.603789541025,constructed nonbinding capacity for fixed-service external confirmation
external_nonbinding,23,southwest,2601.603789541025,constructed nonbinding capacity for fixed-service external confirmation
external_nonbinding,24,east,1880.693041905303,constructed nonbinding capacity for fixed-service external confirmation
external_nonbinding,24,north,1880.693041905303,constructed nonbinding capacity for fixed-service external confirmation
external_nonbinding,24,northwest,1880.693041905303,constructed nonbinding capacity for fixed-service external confirmation
external_nonbinding,24,southwest,1880.693041905303,constructed nonbinding capacity for fixed-service external confirmation
external_nonbinding,25,east,1692.9898956015118,constructed nonbinding capacity for fixed-service external confirmation
